Title,Awarded value,Date of Award,Company name,Street,City,Postal code,Contract awarded by,Basis for DAC Award,Latitude,Longitude
SE1239829-M Replacement of Air Handling Unit at Lagan Valley Hospital,"£112,668 ",05/04/2018,William Coates Ltd,"37 Mallusk Road, Newtownabbey, Co.Antrim ",BELFAST,BT36 4PP,South Eastern Health & Social Care Trust,N/A,54.67474,-5.98721
"SE1240005-M Refurbishment of plant room at River House, Lagan Valley Hospital","£259,165 ",05/04/2018,Irwin M&E Ltd,Unit 4 Diviny Drive ,CRAIGAVON,BT63 5WE,South Eastern Health & Social Mare Trust,N/A,54.44822,-6.41513
Maydown PSNI Station Conversion to Gas - Various Buildings (Site Wide),"£526,045.10 ",17/04/2018,WIthheld,WIthheld,WIthheld,WIthheld,Northern Ireland Policing Board,N/A,,
PSNI Estate – Electronic Access Control Systems,"£3,804,463.88 ",24/04/2018,WIthheld,WIthheld,WIthheld,WIthheld,Northern Ireland Policing Board,N/A,,
Peace Walls Maintenance Contract,"£127,875.00 ",04/05/2018,WIthheld,WIthheld,WIthheld,WIthheld,Department of Justice,N/A,,
Southern Trust - Extension to SHSCT MTC,"£500,000 ",15/05/2018,Various,Various,Various,Various,Southern Health & Social Care Trust,In the public interest,,
Northern Trust - Provision of Minor Electrical Works - Northern Sector,"£65,000 ",29/05/2018,BI Electrical Services (NI) Ltd,"11 Michelin Road, Mallusk",NEWTOWNABBEY,BT36 4PT,Northern Health & Social Care Trust,In the public interest,54.67767,-5.98456
Refurb of 1st Floor South BVH,"£12,765 ",01/06/2018,A&M Haughian Ltd,112 Longstone Rd Ballymartin  ,NEWRY,BT34 4XA,Belfast Health & Social Care Trust,N/A,54.10281,-5.93909
Belfast Trust - Refurb of 1st Floor South BVH,"£12,765 ",01/06/2018,A&M Haughian Ltd,112 Longstone Rd Ballymartin Newry,NEWRY,BT34 4XA,Belfast Health & Social Care Trust,N/A,54.10281,-5.93909
Assessments of Control Structures (Reissue),"£289,493.57 ",06/06/2018,AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD ,"Beechill House, 40 Beechill Road",BELFAST,BT8 7RP,DfI Rivers Agency,N/A,54.54824,-5.90995
Ebrington development Framework Transport Assessment Update (re-issue),"£34,820.00 ",11/06/2018,AECOM Ltd,"The Clarence West Building, 2 Clarence Street",BELFAST,BT2 7GP,The Executive Office,Yes,54.59383,-5.93188
SE1350440-E Replacement of staff attack systems in mental health facilities (Trustwide),"£163,364 ",11/06/2018,MFE CONTRACTS LTD,50 Drumduff Road,Omagh,BT79 OSD,South Eastern Health & Social Care Trust,N/A,,
"Drumahoe, Eglinton and Londonderry Feasibility Studies (Re-Issue)","£49,501.15 ",13/06/2018,AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD ,"Beechill House, 40 Beechill Road",BELFAST,BT8 7RP,DfI Rivers Agency,N/A,54.54824,-5.90995
"DE 1378748 - Appointment of Integrated Consultant Team (ICT) for St Killian's College, Carnlough","£561,219.43 ",13/06/2018,Hamilton Architects LLP,"Hamilton House, 3 Joy Street",BELFAST,BT2 8LE,St MacNissi's Educational Trust,N/A,54.59495,-5.92606
PSNI - Seapark PSNI Station - Replacement of Modular Buildings with a Traditional New Build,"£786,484.08 ",13/06/2018,WIthheld,WIthheld,WIthheld,WIthheld,PSNI,N/A,,
DOF 1131646 Demolition of Hydebank Offices,"£535,000.00 ",20/06/2018,JOHN MCQUILLAN (CONTRACTS) LTD,11 Ballinderry Road,Lisburn,BT28 2SA,DoF,N/A,54.51256,-6.07727
Northern Trust - Replacement of Carpet with Vinyl at Booking Office at Fern House,"£8,869 ",22/06/2018,HD9 Ltd,86-96 New Row,COLERAINE,BT52 1EJ,Northern Health & Social Care Trust,N/A,55.1291,-6.67047
SE1261079-B Construction of Records Store at Home 7 UHD,"£126,660 ",29/06/2018,Bell Contracts,7 Sandholes Road ,COOKSTOWN,BT80 9AR,South Eastern Health & Social Care Trust,N/A,54.62708,-6.75827
South Eastern Trust - Construction of Records Store at Home 7 UHD,"£126,660 ",29/06/2018,Bell Contracts,7 Sandholes Road,COOKSTOWN,BT80 9AR,South Eastern Health & Social Care Trust,N/A,54.62708,-6.75827
"SE1290463-B- Refurbishment of Finance Building, Ards Community Hospital, Phase 3","£493,664 ",29/06/2018,P & K MCKAIGUE LTD,181 Glen Road ,MAGHERA,BT46 5LT,South Eastern Health & Social Care Trust,N/A,54.84752,-6.71719
DfC1235658 - Historic Environment Division (HED) Ad-Hoc Surveys,"£13,883.00 ",05/07/2018,ALASTAIR COEY ARCHITECTS LTD,Belmont Gate Lodge,Belfast,BT4 2DT,DfC,N/A,54.60128,-5.86503
Framework for Building Maintenance and Minor Building Works Lot 1 Royal Group of Hospitals,"£5,600,000 ",06/07/2018,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,In the public interest,54.13831,-6.26013
Framework for Building Maintenance and Minor Building Works Lot 2 Belfast City Hospital,"£11,900,000 ",06/07/2018,Maurice Flynn & Sons Ltd,62 Springbank Industrial Estate,BELFAST,BT17 0QL,Belfast Health & Social Care Trust,In the public interest,54.56839,-6.03075
"Framework for Building Maintenance and Minor Building Works Lot 3Musgrave Park Hospital, Knockbracken & South and East Belfast Community","£850,000 ",06/07/2018,H&J Martin Ltd,163 Ormeau Road,BELFAST,BT7 1SP,Belfast Health & Social Care Trust,In the public interest,54.585167,-5.922895
"Framework for Building Maintenance and Minor Building Works Lot 4 Musgrave Park Hospital, Knockbracken & South and East Belfast Community","£5,600,000 ",06/07/2018,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,In the public interest,54.13831,-6.26013
SO1531070-B Accommodation Block Bathroom Refurbishment Works Craigavon Area Hospital,"£96,950 ",06/07/2018,MOSS CONSTRUCTION (NI) LTD,54 Ballymacauley Road ,ARMAGH,BT60 2EZ,Southern Health & Social Care Trust,N/A,54.28428,-6.59991
Southern Trust - Accommodation Block Bathroom Refurbishment Works Craigavon Area Hospital,"£96,950 ",06/07/2018,Moss Construction (NI) Ltd,54 Ballymacauley Road,ARMAGH,BT60 2EZ,Southern Health & Social Care Trust,N/A,54.28428,-6.59991
"Belfast Trust - Centralisation of Tissue Pathology Services at Institute of Pathology, Royal Group of Hospitals","£659,000 ",10/07/2018,Piperhill Construction Ltd,Unit 14 Acorn Business Centre,BALLYMONEY,BT53 7LH,Belfast Health & Social Care Trust,N/A,55.06511,-6.49526
DfI - 1550619 - LOUGH NEAGH FLOOD FORECASTING SYSTEM,"£38,484.39 ",18/07/2018,RPS Ireland Ltd,"Elmwood House, 74 Boucher Road",BELFAST,BT12 6RZ,DfI Rivers Agency,N/A,54.57119,-5.96974
"WE1278556-B Refurbishment of Bathroom Areas, Maybrook ATC, Londonderry","£147,900 ",23/07/2018,J J Rice Contractors,20 Lenalea Road ,ARMAGH,BT60 1NB,Western Health & Social Care Trust,N/A,54.33806,-6.58353
DfI - 1533173 - Co. Antrim Flood Alleviation Schemes (Hollywell Burn and Flush Bridge Stream) 2018,"£128,776.46 ",30/07/2018,ATKINS LTD,Woodcote Grove,Epsom,KT18 5BW,DfI Rivers Agency,N/A,51.32436,-0.26644
"SE1567079-B Roof Work at Lakewood RSCC, Bangor","£395,954 ",06/08/2018,D J Dickson,127 Derryboy Road,DOWNPATRICK,BT30 9DH,South Eastern Health & Social Care Trust,N/A,54.42832,-5.73074
Ebrington New Entrance and Boundary Treatment,"£1,661,600.00 ",14/08/2018,FP McCann,"Knockloughran Quarry, 3 Drumard Road",Magherafelt,BT45 8QA,The Executive Office,N/A,54.82364,-6.5918
Southern Trust - Extension to SHSCT MTC,"£1,200,000 ",21/08/2018,Various,Various,Various,Various,Southern Health & Social Care Trust,In the public interest,,
Belfast Trust - Framework for Asbestos Surveying and Monitoring - Lot 1,"£65,000 ",23/08/2018,Quality Consultants (NI) Ltd,"Unit B9 Inspire Business Park, 16 Carrowreagh Road",BELFAST,BT16 1QT,Belfast Health & Social Care Trust,In the public interest,54.59741,-5.7817
Belfast Trust - Framework for Asbestos Surveying and Monitoring - Lot2,"£54,000 ",23/08/2018,CGC Laboratory Ltd,18 Mallusk Enterprise Park,MALLUSK,BT36 4GN,Belfast Health & Social Care Trust,In the public interest,54.671,-5.97996
DfC - DfCHistoric Environment Division Specialist Services Management Contract,"£185,421.80 ",24/08/2018,Soltys Brewster Consulting Ltd,4 Standgate House ,Penarth,CF64 2AA,DfC,N/A,51.43814,-3.17362
QS Services Royal Hospitals Critical Care Building,"£50,000 ",03/09/2018,White Young Green,"1 Locksley Business Park, Montgomery Road",BELFAST,BT6 9UP,Belfast Health & Social Care Trust,In the public interest,54.57832,-5.87798
Fire Safety Works Royal Hospitals Critical Care Building,"£350,000 ",03/09/2018,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,In the public interest,54.13831,-6.26013
Standby Generator Repairs Royal Hospitals Critical Care Building,"£450,000 ",03/09/2018,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,In the public interest,54.13831,-6.26013
Replacement of Ventilation System Louvres Royal Hospitals Critical Care Building,"£450,000 ",03/09/2018,Killowen Contracts Ltd,35 Bridge Road ,NEWRY,BT34 3QT,Belfast Health & Social Care Trust,In the public interest,54.13831,-6.26013
SE1415825-E Installation of Submains and Distribution Boards at Ulster Hospital,"£85,982 ",03/09/2018,Irwin M&E Ltd,Unit 4 Diviny Drive , Craigavon,BT63 5WE,South Eastern Health & Social Care Trust,N/A,54.44822,-6.41513
Lissue Stream Flood Alleviation Scheme,"£935,600.00 ",04/09/2018,FP McCann,"Knockloughran Quarry, 3 Drumard Road",Magherafelt,BT45 8QA,DfI Rivers Agency,N/A,54.82364,-6.5918
SE1261252-B CT scanner enabling work at LVH,"£236,800 ",11/09/2018,HUGH J. O'BOYLE LTD,"The Green, Irish Street",Downpatrick, BT30 6BE,South Eastern Health & Social Care Trust,N/A,54.3264,-5.71327
Strangford and Portaferry Harbours CCTV Upgrade,"£53,288.00 ",21/09/2018,VIS Security Solutions Ltd,Windsor Business Park,Belfast,BT9 7DW,DfI,N/A,54.58104,-5.9501
Building and Welding Maintenance Framework,"£761,515.00 ",21/09/2018,D Hooke Contracts,32A Lurganbane Road,Dromore,BT25 1ER,AFBI,N/A,54.40594,-6.10945
SO1610522-B CRAIGAVON AREA HOSPITAL - RELOCATABLE SCANNER ENABLING WORKS,"£134,424 ",21/09/2018,Eugene Duffy Construction Ltd,8 Glassdrumman Road ,Newry,BT35 9DX,Southern Health & Social Care Trust,N/A,54.0789,-6.566
SE1261204-B Construction of Extension at Saintfield Health Centre,"£133,079 ",27/09/2018,FM Construction Services Ltd,65 Great Northern Street,BELFAST, BT9 7FL,South Eastern Health & Social Care Trust,N/A,54.57978,-5.95378
SE1416030-E Installation of New Generator at Ulster Hospital,"£92,870 ",27/09/2018,Irwin M&E Ltd,Unit 4 Diviny Drive, Craigavon,BT63 5WE,South Eastern Health & Social Care Trust,N/A,54.44822,-6.41513
SO1581296-B CRAIGAVON AREA HOSPITAL AMBULATORY ASSESSMENT UNIT,"£948,424 ",28/09/2018,Eugene Duffy Construction Ltd,8 Glassdrumman Road ,Newry,BT35 9DX,Southern Health & Social Care Trust,N/A,54.0789,-6.566
[1350440- SC2] - SE1350440-E Replacement of staff attack systems in mental health facilities (Trustwide),"£163,364 ",02/10/2018,M F E LTD,50 Drumduff Road,OMAGH,BT79 0SD,South Eastern Health & Social Care Trust,N/A,54.56219,-7.16831
[1261252- SC2] - SE1261252-B CT scanner enabling work at LVH,"£236,800 ",02/10/2018,HUGH J. O'BOYLE LTD,"The Green, Irish Street",DOWNPATRICK,BT30 6BE,South Eastern Health & Social Care Trust,N/A,54.3264,-5.71327
"BE1645736-B Entrance Doors Re-configuration, Cancer Centre Belfast City Hospital","£128,704 ",03/10/2018,J.F. & H. Dowds Ltd,2-4 Milltown Road,BALLYMONEY,BT53 6LE,Belfast Health & Social Care Trust,N/A,55.06403,-6.51952
"[1284813- SC2] - WE1284813-B Essential Fire Upgrade Works, Waterside Hospital, Londonderry","£129,994 ",03/10/2018,Cleary Contracting Ltd,53 Derryhollagh Road,ANTRIM,BT41 3HP,Western Health & Social Care Trust,N/A,54.7437,-6.37201
"[1200561- SC2] - WE1200561-B Spruce Villa Refurbishment, T and F Hospital Omagh","£139,668 ",03/10/2018,Ernest Watt & Sons,2 Bush Road Dungannon,Dungannon,BT71 6QD,Western Health & Social Care Trust,N/A,54.50388,-6.75551
New Buildings for Southern Regional College - Banbridge,"£10,597,000.00 ",04/10/2018,O'Hare & McGovern,"Carnbane House, Shepherd's Way",Newry,BT35 6EE,DE,N/A,54.19862,-6.35029
Calf Housing at Dairy Centre Greenmount,"£790,160.17 ",04/10/2018,R J McKelvey Ltd,17 Carrickadartans Road,Castlederg,BT81 7NQ,DAERA,N/A,54.69009,-7.56395
Trust Wide Six Facet (inc DDA) Survey,"£246,034 ",04/10/2018,Oakleaf Surveying,"7 Brookfield, Moulton Park",NORTHAMPTON,NN3 6WL,Northern Health & Social Care Trust,In the public interest,52.2784,-0.87931
